kind	name	threshold	rc	wall_s	inadequate	spec_failures	max_osr	compile_count	compiles	jits	sites	retry_after	retry_before	reopt	phase_ms	dfg_compile_ms	ftl_compile_ms	total_compile_ms	stub_bytes_sum	unknown_option	repro	log
sweep	F	5	0	0.0116	6	6	5	0		{}	f@4/InadequateCoverage=6	1	0	1	0.701	0.443	0.0	0.626	544	0	name=F-exactly-6 sum=6 warmup_ms=1.241 phase_ms=0.701 after_ms=0.813 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t5.log
sweep	F	10	0	0.0115	6	6	5	0		{}	f@4/InadequateCoverage=6	0	0	0	0.836	0.248	0.0	0.439	544	0	name=F-exactly-6 sum=6 warmup_ms=1.388 phase_ms=0.836 after_ms=0.341 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t10.log
sweep	G	0	0	0.0111	1	1	0	0		{}	f@5/InadequateCoverage=1	1	0	1	0.290	0.609	0.0	0.838	544	0	name=G-32x1 sum=528 warmup_ms=1.971 phase_ms=0.290 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t0.log
sweep	G	1	0	0.0168	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	5.887	0.618	0.0	0.828	17408	0	name=G-32x1 sum=528 warmup_ms=1.759 phase_ms=5.887 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t1.log
sweep	G	2	0	0.0171	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	5.698	0.658	0.0	0.891	17408	0	name=G-32x1 sum=528 warmup_ms=2.046 phase_ms=5.698 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t2.log
sweep	G	3	0	0.017	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	5.714	0.614	0.0	0.841	17408	0	name=G-32x1 sum=528 warmup_ms=2.132 phase_ms=5.714 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t3.log
sweep	G	5	0	0.0176	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	5.864	0.652	0.0	0.894	17408	0	name=G-32x1 sum=528 warmup_ms=2.052 phase_ms=5.864 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t5.log
sweep	G	10	0	0.018	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	5.833	0.655	0.0	0.892	17408	0	name=G-32x1 sum=528 warmup_ms=2.202 phase_ms=5.833 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-G-t10.log
sweep	H	0	0	0.012	1	1	0	0		{}	f@5/InadequateCoverage=1	1	0	1	0.326	0.644	0.0	0.903	544	0	name=H-32x2 sum=1056 warmup_ms=1.989 phase_ms=0.326 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t0.log
sweep	H	1	0	0.0116	2	2	1	0		{}	f@5/InadequateCoverage=2	1	0	1	0.408	0.657	0.0	0.892	544	0	name=H-32x2 sum=1056 warmup_ms=2.129 phase_ms=0.408 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t1.log
sweep	H	2	0	0.0191	64	64	63	0		{}	f@5/InadequateCoverage=2|f@23/InadequateCoverage=2|f@41/InadequateCoverage=2|f@59/InadequateCoverage=2|f@77/InadequateCoverage=2|f@95/InadequateCoverage=2|f@113/InadequateCoverage=2|f@131/InadequateCoverage=2|f@149/InadequateCoverage=2|f@167/InadequateCoverage=2|f@185/InadequateCoverage=2|f@203/InadequateCoverage=2	0	0	0	8.099	0.591	0.0	0.834	17408	0	name=H-32x2 sum=1056 warmup_ms=1.875 phase_ms=8.099 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t2.log
sweep	H	3	0	0.02	64	64	63	0		{}	f@5/InadequateCoverage=2|f@23/InadequateCoverage=2|f@41/InadequateCoverage=2|f@59/InadequateCoverage=2|f@77/InadequateCoverage=2|f@95/InadequateCoverage=2|f@113/InadequateCoverage=2|f@131/InadequateCoverage=2|f@149/InadequateCoverage=2|f@167/InadequateCoverage=2|f@185/InadequateCoverage=2|f@203/InadequateCoverage=2	0	0	0	8.909	0.641	0.0	0.869	17408	0	name=H-32x2 sum=1056 warmup_ms=1.885 phase_ms=8.909 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t3.log
sweep	H	5	0	0.0208	64	64	63	0		{}	f@5/InadequateCoverage=2|f@23/InadequateCoverage=2|f@41/InadequateCoverage=2|f@59/InadequateCoverage=2|f@77/InadequateCoverage=2|f@95/InadequateCoverage=2|f@113/InadequateCoverage=2|f@131/InadequateCoverage=2|f@149/InadequateCoverage=2|f@167/InadequateCoverage=2|f@185/InadequateCoverage=2|f@203/InadequateCoverage=2	0	0	0	9.291	0.654	0.0	0.885	17408	0	name=H-32x2 sum=1056 warmup_ms=2.042 phase_ms=9.291 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t5.log
sweep	H	10	0	0.0206	64	64	63	0		{}	f@5/InadequateCoverage=2|f@23/InadequateCoverage=2|f@41/InadequateCoverage=2|f@59/InadequateCoverage=2|f@77/InadequateCoverage=2|f@95/InadequateCoverage=2|f@113/InadequateCoverage=2|f@131/InadequateCoverage=2|f@149/InadequateCoverage=2|f@167/InadequateCoverage=2|f@185/InadequateCoverage=2|f@203/InadequateCoverage=2	0	0	0	8.940	0.698	0.0	0.942	17408	0	name=H-32x2 sum=1056 warmup_ms=2.201 phase_ms=8.940 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-H-t10.log
sweep	I	0	0	0.0119	1	1	0	0		{}	f@5/InadequateCoverage=1	1	0	1	0.363	0.65	0.0	0.885	544	0	name=I-32x3 sum=1584 warmup_ms=2.209 phase_ms=0.363 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t0.log
sweep	I	1	0	0.0116	2	2	1	0		{}	f@5/InadequateCoverage=2	1	0	1	0.430	0.674	0.0	0.908	544	0	name=I-32x3 sum=1584 warmup_ms=2.120 phase_ms=0.430 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t1.log
sweep	I	2	0	0.012	3	3	2	0		{}	f@5/InadequateCoverage=3	1	0	1	0.527	0.662	0.0	0.901	544	0	name=I-32x3 sum=1584 warmup_ms=2.092 phase_ms=0.527 dfg_before=1 dfg_after=1 retry_before=0 retry_after=1 reopt=1 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t2.log
sweep	I	3	0	0.0233	96	96	95	0		{}	f@5/InadequateCoverage=3|f@23/InadequateCoverage=3|f@41/InadequateCoverage=3|f@59/InadequateCoverage=3|f@77/InadequateCoverage=3|f@95/InadequateCoverage=3|f@113/InadequateCoverage=3|f@131/InadequateCoverage=3|f@149/InadequateCoverage=3|f@167/InadequateCoverage=3|f@185/InadequateCoverage=3|f@203/InadequateCoverage=3	0	0	0	11.852	0.648	0.0	0.871	17408	0	name=I-32x3 sum=1584 warmup_ms=2.084 phase_ms=11.852 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t3.log
sweep	I	5	0	0.0227	96	96	95	0		{}	f@5/InadequateCoverage=3|f@23/InadequateCoverage=3|f@41/InadequateCoverage=3|f@59/InadequateCoverage=3|f@77/InadequateCoverage=3|f@95/InadequateCoverage=3|f@113/InadequateCoverage=3|f@131/InadequateCoverage=3|f@149/InadequateCoverage=3|f@167/InadequateCoverage=3|f@185/InadequateCoverage=3|f@203/InadequateCoverage=3	0	0	0	10.906	0.702	0.0	0.939	17408	0	name=I-32x3 sum=1584 warmup_ms=2.140 phase_ms=10.906 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t5.log
sweep	I	10	0	0.0235	96	96	95	0		{}	f@5/InadequateCoverage=3|f@23/InadequateCoverage=3|f@41/InadequateCoverage=3|f@59/InadequateCoverage=3|f@77/InadequateCoverage=3|f@95/InadequateCoverage=3|f@113/InadequateCoverage=3|f@131/InadequateCoverage=3|f@149/InadequateCoverage=3|f@167/InadequateCoverage=3|f@185/InadequateCoverage=3|f@203/InadequateCoverage=3	0	0	0	11.831	0.619	0.0	0.879	17408	0	name=I-32x3 sum=1584 warmup_ms=2.107 phase_ms=11.831 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-I-t10.log
